date,location,event_type,event_size,event_impact,start,end
2026-06-01,mall,expo,medium,1,11:00,20:00
2026-06-03,stadium,festival,medium,4,17:00,21:00
2026-06-03,mall,expo,small,1,11:00,20:00
2026-06-07,stadium,sports,large,3,17:00,21:00
2026-06-07,mall,expo,small,2,11:00,20:00
2026-06-12,stadium,sports,large,3,17:00,21:00
2026-06-14,stadium,concert,medium,2,19:00,23:00
2026-06-19,stadium,sports,large,3,18:00,22:00
2026-06-26,stadium,sports,medium,2,19:00,23:00
2026-07-02,stadium,concert,large,3,17:00,21:00
2026-07-04,stadium,concert,medium,2,19:00,23:00
2026-07-06,stadium,concert,large,3,17:00,21:00
2026-07-06,mall,expo,small,1,11:00,20:00
2026-07-08,stadium,festival,large,4,17:00,21:00
2026-07-14,stadium,sports,large,3,19:00,23:00
2026-07-14,mall,expo,small,1,11:00,20:00
2026-07-15,stadium,sports,large,3,19:00,23:00
2026-07-17,stadium,festival,large,4,17:00,21:00
2026-07-17,mall,expo,medium,2,11:00,20:00
2026-07-19,mall,expo,medium,2,11:00,20:00
2026-07-20,stadium,sports,medium,2,19:00,23:00
2026-07-21,stadium,sports,medium,2,18:00,22:00
2026-07-22,stadium,sports,medium,2,17:00,21:00
2026-07-23,stadium,festival,medium,4,17:00,21:00
2026-07-24,stadium,festival,large,4,18:00,22:00
2026-07-26,stadium,sports,medium,2,19:00,23:00
2026-07-27,mall,expo,medium,1,11:00,20:00
2026-07-29,stadium,sports,large,3,17:00,21:00
2026-07-30,mall,expo,small,2,11:00,20:00
2026-08-02,stadium,concert,large,3,18:00,22:00
2026-08-03,stadium,sports,medium,2,19:00,23:00
2026-08-07,mall,expo,medium,1,11:00,20:00
2026-08-08,stadium,sports,medium,2,19:00,23:00
2026-08-12,office,expo,small,1,09:00,17:00
2026-08-15,stadium,sports,large,3,17:00,21:00
2026-08-19,stadium,sports,large,3,19:00,23:00
2026-08-22,mall,expo,medium,2,11:00,20:00
2026-08-24,mall,expo,small,2,11:00,20:00
2026-08-26,office,expo,small,1,09:00,17:00
2026-08-27,stadium,concert,large,3,17:00,21:00
