date,location,kind,severity,start,dur_steps
2026-06-03,residential,storm_shock,2,18:00,4
2026-06-11,mall,storm_shock,2,09:00,3
2026-06-11,office,storm_shock,1,17:00,6
2026-06-13,stadium,closure,2,08:00,3
2026-06-19,residential,accident,3,09:00,3
2026-06-20,stadium,closure,3,17:00,6
2026-06-20,station,closure,1,17:00,6
2026-06-25,station,accident,3,17:00,3
2026-06-25,office,closure,2,17:00,6
2026-06-27,mall,storm_shock,1,08:00,4
2026-06-27,station,accident,1,19:00,3
2026-06-27,residential,accident,2,09:00,6
2026-06-30,station,storm_shock,3,12:00,6
2026-07-02,residential,closure,2,18:00,2
2026-07-07,stadium,accident,3,17:00,6
2026-07-11,stadium,accident,3,12:00,3
2026-07-16,office,accident,2,18:00,2
2026-07-19,mall,accident,1,17:00,6
2026-07-20,station,accident,3,09:00,3
2026-07-22,mall,accident,2,19:00,3
2026-07-22,station,accident,1,09:00,3
2026-07-22,office,storm_shock,3,17:00,4
2026-07-22,residential,storm_shock,2,12:00,6
2026-07-23,mall,closure,2,09:00,6
2026-07-24,stadium,storm_shock,2,12:00,6
2026-07-25,office,closure,2,08:00,4
2026-07-25,residential,storm_shock,1,09:00,4
2026-07-30,mall,closure,2,08:00,4
2026-07-31,mall,closure,3,18:00,2
2026-08-03,office,closure,1,08:00,3
2026-08-11,mall,closure,3,19:00,6
2026-08-13,stadium,accident,2,17:00,6
2026-08-13,residential,closure,3,12:00,2
2026-08-15,office,accident,2,08:00,3
2026-08-16,stadium,storm_shock,1,19:00,6
2026-08-16,residential,accident,2,12:00,4
2026-08-18,stadium,storm_shock,2,17:00,6
2026-08-19,station,closure,2,17:00,2
2026-08-23,residential,storm_shock,3,18:00,4
2026-08-26,mall,storm_shock,1,19:00,4
2026-08-26,station,storm_shock,2,12:00,2
